category_code,events,purchases
electronics.smartphone,11502427,338018
,13478561,173425
electronics.audio.headphone,1099330,30503
electronics.video.tv,1112724,21565
electronics.clocks,1307985,17906
appliances.kitchen.washer,868890,16148
computers.notebook,1136040,15590
appliances.environment.vacuum,800993,12378
appliances.kitchen.refrigerators,887312,11218
electronics.tablet,316574,5603
auto.accessories.player,469744,4647
apparel.shoes,761899,4255
electronics.telephone,247397,3738
appliances.kitchen.microwave,173229,3709
appliances.iron,165239,3653
electronics.audio.subwoofer,313443,3348
computers.desktop,423924,3232
appliances.kitchen.blender,200912,3044
appliances.kitchen.kettle,184648,2983
construction.tools.drill,279854,2790
appliances.environment.water_heater,145252,2774
apparel.shoes.keds,410091,2711
computers.peripherals.printer,151658,2496
appliances.environment.air_heater,158645,2483
auto.accessories.alarm,194140,2441
appliances.kitchen.meat_grinder,160187,2382
auto.accessories.videoregister,224012,2375
appliances.kitchen.oven,194862,2335
kids.carriage,219983,2281
furniture.bedroom.bed,357119,2166
appliances.sewing_machine,152240,1939
furniture.living_room.cabinet,299814,1887
construction.tools.saw,143546,1820
appliances.personal.scales,65316,1332
appliances.kitchen.mixer,90298,1260
accessories.bag,190017,1253
construction.tools.generator,114508,1244
furniture.kitchen.chair,108287,1156
furniture.living_room.sofa,215524,1084
construction.tools.welding,93914,1081
kids.toys,110515,1055
computers.peripherals.mouse,72028,1051
appliances.personal.hair_cutter,65945,1047
computers.components.hdd,64808,1035
computers.peripherals.monitor,105738,1035
appliances.kitchen.hob,106732,959
appliances.kitchen.hood,106884,936
electronics.audio.acoustic,95375,888
sport.bicycle,130187,838
computers.components.videocards,81736,836
kids.fmcg.diapers,25059,768
furniture.kitchen.table,105614,742
appliances.kitchen.grill,74658,723
kids.skates,86147,704
appliances.ironing_board,35245,664
furniture.living_room.chair,72345,648
appliances.kitchen.dishwasher,83597,641
computers.peripherals.keyboard,53514,600
auto.accessories.compressor,59641,591
appliances.kitchen.juicer,47428,554
appliances.kitchen.coffee_machine,82886,544
computers.components.memory,42577,526
auto.accessories.radar,43560,494
apparel.costume,133199,489
appliances.kitchen.toster,26732,459
computers.components.cooler,44034,451
electronics.audio.microphone,28965,430
electronics.audio.music_tools.piano,36242,423
appliances.environment.air_conditioner,39381,412
sport.trainer,35803,367
electronics.camera.video,39932,350
kids.dolls,46157,344
kids.swing,31960,330
construction.tools.pump,34805,322
medicine.tools.tonometer,14794,310
accessories.wallet,43476,310
construction.components.faucet,25810,297
computers.ebooks,29830,294
computers.components.motherboard,43323,270
computers.components.cpu,48524,201
computers.components.power_supply,18567,195
furniture.bathroom.toilet,16625,182
electronics.camera.photo,11376,174
furniture.bedroom.pillow,20885,171
appliances.personal.massager,18196,163
furniture.bedroom.blanket,22466,162
apparel.jeans,56720,140
stationery.cartrige,7540,134
construction.tools.painting,14813,133
appliances.kitchen.coffee_grinder,11920,132
construction.tools.light,22179,113
apparel.underwear,44349,97
appliances.kitchen.steam_cooker,13491,97
electronics.video.projector,13137,82
apparel.shoes.moccasins,13432,72
furniture.bathroom.bath,13525,63
apparel.tshirt,18695,58
auto.accessories.parktronic,12351,46
country_yard.lawn_mower,5499,44
computers.peripherals.camera,5037,43
furniture.universal.light,9948,40
apparel.shirt,13476,38
country_yard.cultivator,7168,28
appliances.environment.fan,2215,27
auto.accessories.winch,8704,26
apparel.shoes.sandals,9341,25
accessories.umbrella,3923,24
apparel.trousers,16027,22
apparel.sock,2641,21
apparel.belt,2429,21
sport.ski,3005,16
apparel.dress,36552,15
apparel.shoes.ballet_shoes,2934,11
apparel.scarf,2523,10
sport.tennis,3540,9
apparel.shoes.slipons,5678,8
sport.snowboard,3727,6
apparel.skirt,1029,4
apparel.shorts,630,2
apparel.jumper,2588,2
apparel.jacket,436,1
construction.tools.soldering,626,1
apparel.shoes.espadrilles,1398,0
apparel.shoes.step_ins,1326,0
country_yard.furniture.hammok,1214,0
auto.accessories.anti_freeze,296,0
country_yard.furniture.bench,190,0
